tsmp,datetime,latitude,longitude,altitude,speed,speed2D,speed3D,dist_last_meas,distance,freq_gnss,gnss_DOP,gnss_fix,FPS,frame_idx,frame_time,frame_time_sec
1679935917.725,2023-03-27 13:51:57.725000,-28.4082923,-51.0460765,889.955,93.66,26.017,26.03,0.001,0.001,16.346153846153847,1.11,True,57.69230769230769,0,0.00s,0.0
1679935917.7861764,2023-03-27 13:51:57.786176,-28.408281199999998,-51.046084,889.981,93.7,26.028000000000002,26.02,1.4329746422436507,1.4339746422436506,16.346153846153847,1.11,True,57.69230769230769,4,0.06s,0.06
1679935917.8473527,2023-03-27 13:51:57.847353,-28.4082701,-51.046091399999995,889.991,93.84,26.068,26.03,1.4279740138106543,2.861948656054305,16.346153846153847,1.11,True,57.69230769230769,7,0.12s,0.12
1679935917.9085293,2023-03-27 13:51:57.908529,-28.408258999999997,-51.0460989,890.027,93.59,25.997,26.07,1.4329747166096183,4.2949233726639235,16.346153846153847,1.11,True,57.69230769230769,11,0.18s,0.18
1679935917.9697058,2023-03-27 13:51:57.969706,-28.4082479,-51.0461064,890.029,93.6,26.0,26.0,1.432974753970169,5.727898126634092,16.346153846153847,1.11,True,57.69230769230769,14,0.24s,0.24
1679935918.0308824,2023-03-27 13:51:58.030882,-28.408236799999997,-51.046113999999996,890.043,93.78,26.051000000000002,26.0,1.4380248406802179,7.1659229673143106,16.346153846153847,1.11,True,57.69230769230769,18,0.31s,0.31
1679935918.0920587,2023-03-27 13:51:58.092059,-28.4082258,-51.0461214,890.047,93.72,26.033,26.05,1.4184378946801435,8.584360861994455,16.346153846153847,1.11,True,57.69230769230769,21,0.37s,0.37
1679935918.1532352,2023-03-27 13:51:58.153235,-28.4082147,-51.046129,890.049,93.87,26.076,26.03,1.4380249171664268,10.022385779160881,16.346153846153847,1.11,True,57.69230769230769,25,0.43s,0.43
1679935918.2144117,2023-03-27 13:51:58.214412,-28.4082035,-51.046136399999995,890.077,93.91,26.085,26.080000000000002,1.4375326779960802,11.459918457156961,16.346153846153847,1.11,True,57.69230769230769,28,0.49s,0.49
1679935918.275588,2023-03-27 13:51:58.275588,-28.408192399999997,-51.046144,890.056,93.88,26.077,26.09,1.4380249954063467,12.897943452563307,16.346153846153847,1.11,True,57.69230769230769,32,0.55s,0.55
1679935918.3367646,2023-03-27 13:51:58.336765,-28.4081813,-51.0461515,890.076,93.9,26.084,26.080000000000002,1.4329749791898565,14.330918431753163,16.346153846153847,1.11,True,57.69230769230769,35,0.61s,0.61
1679935918.397941,2023-03-27 13:51:58.397941,-28.4081591,-51.0461666,890.105,93.97,26.104,26.09,2.8709878454134414,17.201906277166604,16.346153846153847,1.11,True,57.69230769230769,39,0.67s,0.67
1679935918.4591177,2023-03-27 13:51:58.459118,-28.408147999999997,-51.046174099999995,890.119,94.1,26.139,26.1,1.4329750923291937,18.634881369495798,16.346153846153847,1.11,True,57.69230769230769,42,0.73s,0.73
1679935918.520294,2023-03-27 13:51:58.520294,-28.4081369,-51.046181499999996,890.143,93.95,26.096,26.14,1.4279744536876775,20.062855823183476,16.346153846153847,1.11,True,57.69230769230769,46,0.80s,0.8
1679935918.5814705,2023-03-27 13:51:58.581470,-28.408125799999997,-51.0461891,890.147,93.99,26.109,26.1,1.4380252255523986,21.500881048735874,16.346153846153847,1.11,True,57.69230769230769,49,0.86s,0.86
1679935918.642647,2023-03-27 13:51:58.642647,-28.4081147,-51.046196699999996,890.1560000000001,94.02,26.116,26.11,1.4380252643240303,22.938906313059903,16.346153846153847,1.11,True,57.69230769230769,53,0.92s,0.92
1679935918.7038233,2023-03-27 13:51:58.703823,-28.4081036,-51.0462042,890.1510000000001,94.04,26.122,26.12,1.432975241769753,24.371881554829656,16.346153846153847,1.11,True,57.69230769230769,56,0.98s,0.98
1679935918.7649999,2023-03-27 13:51:58.765000,-28.408092399999997,-51.0462117,890.1610000000001,94.1,26.139,26.12,1.4425005876476718,25.814382142477328,16.346153846153847,1.11,True,57.69230769230769,59,1.04s,1.04
1679935918.8261764,2023-03-27 13:51:58.826176,-28.4080813,-51.0462193,890.1700000000001,94.08,26.132,26.14,1.4380253795668099,27.252407522044138,16.346153846153847,1.11,True,57.69230769230769,63,1.10s,1.1
1679935918.8873527,2023-03-27 13:51:58.887353,-28.4080701,-51.0462268,890.181,94.23,26.175,26.13,1.4425006612913471,28.694908183335485,16.346153846153847,1.11,True,57.69230769230769,66,1.16s,1.16
1679935918.9485292,2023-03-27 13:51:58.948529,-28.408058999999998,-51.046234299999995,890.1800000000001,94.24,26.177,26.18,1.4329753936691818,30.127883577004667,16.346153846153847,1.11,True,57.69230769230769,70,1.22s,1.22
1679935919.0097058,2023-03-27 13:51:59.009706,-28.4080479,-51.0462419,890.2,94.25,26.181,26.18,1.4380254951636244,31.565909072168292,16.346153846153847,1.11,True,57.69230769230769,73,1.28s,1.28
1679935919.0708823,2023-03-27 13:51:59.070882,-28.4080367,-51.0462494,890.208,94.24,26.177,26.18,1.442500773351154,33.008409845519445,16.346153846153847,1.11,True,57.69230769230769,77,1.35s,1.35
