tsmp,datetime,latitude,longitude,altitude,speed,speed2D,speed3D,dist_last_meas,distance,freq_gnss,gnss_DOP,gnss_fix,FPS,frame_idx,frame_time,frame_time_sec
1679660754.944,2023-03-24 09:25:54.944000,-28.820271199999997,-51.114748999999996,785.9350000000001,27.03,7.507000000000001,7.49,0.001,0.001,16.346153846153847,1.04,True,58.65384615384615,0,0.00s,0.0
1679660755.0051765,2023-03-24 09:25:55.005177,-28.8202742,-51.114751399999996,785.922,27.1,7.527,7.51,0.4067326228121233,0.4077326228121233,16.346153846153847,1.04,True,58.65384615384615,4,0.06s,0.06
1679660755.0663528,2023-03-24 09:25:55.066353,-28.8202802,-51.1147565,785.892,27.01,7.5040000000000004,7.53,0.8306751723915867,1.23840779520371,16.346153846153847,1.04,True,58.65384615384615,7,0.12s,0.12
1679660755.1275294,2023-03-24 09:25:55.127529,-28.820283099999997,-51.1147589,785.873,26.79,7.4430000000000005,7.51,0.3977234086436021,1.6361312038473121,16.346153846153847,1.04,True,58.65384615384615,11,0.18s,0.18
1679660755.188706,2023-03-24 09:25:55.188706,-28.820286099999997,-51.1147615,785.86,26.99,7.496,7.45,0.41828045056207735,2.0544116544093893,16.346153846153847,1.04,True,58.65384615384615,14,0.24s,0.24
1679660755.2498825,2023-03-24 09:25:55.249882,-28.820289199999998,-51.114764,785.845,27.04,7.51,7.5,0.4214177109846584,2.4758293653940475,16.346153846153847,1.04,True,58.65384615384615,18,0.31s,0.31
1679660755.3110588,2023-03-24 09:25:55.311059,-28.820292199999997,-51.114766499999995,785.827,27.01,7.502,7.5200000000000005,0.41243144443892066,2.888260809832968,16.346153846153847,1.04,True,58.65384615384615,22,0.37s,0.37
1679660755.3722353,2023-03-24 09:25:55.372235,-28.8202952,-51.114768999999995,785.816,27.11,7.53,7.51,0.4124314423799779,3.300692252212946,16.346153846153847,1.04,True,58.65384615384615,25,0.43s,0.43
1679660755.4334118,2023-03-24 09:25:55.433412,-28.8202982,-51.1147716,785.8050000000001,27.27,7.574,7.54,0.41828043456762226,3.718972686780568,16.346153846153847,1.04,True,58.65384615384615,29,0.49s,0.49
1679660755.4945881,2023-03-24 09:25:55.494588,-28.8203012,-51.1147742,785.793,27.32,7.588,7.58,0.41828043003963755,4.137253116820205,16.346153846153847,1.04,True,58.65384615384615,32,0.55s,0.55
1679660755.5557647,2023-03-24 09:25:55.555765,-28.8203042,-51.1147766,785.7760000000001,27.1,7.527,7.59,0.4067325859819967,4.543985702802202,16.346153846153847,1.04,True,58.65384615384615,36,0.61s,0.61
1679660755.6169412,2023-03-24 09:25:55.616941,-28.8203072,-51.1147792,785.7620000000001,27.11,7.53,7.53,0.41828042133404814,4.96226612413625,16.346153846153847,1.04,True,58.65384615384615,39,0.67s,0.67
1679660755.6781178,2023-03-24 09:25:55.678118,-28.8203101,-51.114781799999996,785.7470000000001,26.92,7.478,7.53,0.40952533437367145,5.371791458509922,16.346153846153847,1.04,True,58.65384615384615,43,0.73s,0.73
1679660755.739294,2023-03-24 09:25:55.739294,-28.820313,-51.114784199999995,785.727,26.73,7.426,7.48,0.3977233710908275,5.769514829600749,16.346153846153847,1.04,True,58.65384615384615,47,0.80s,0.8
1679660755.8004706,2023-03-24 09:25:55.800471,-28.820316,-51.114786599999995,785.72,26.6,7.390000000000001,7.43,0.4067325706794803,6.1762474002802294,16.346153846153847,1.04,True,58.65384615384615,50,0.86s,0.86
1679660755.8616471,2023-03-24 09:25:55.861647,-28.820318999999998,-51.114788999999995,785.7040000000001,26.59,7.386,7.4,0.406732567563477,6.582979967843706,16.346153846153847,1.04,True,58.65384615384615,54,0.92s,0.92
1679660755.9228234,2023-03-24 09:25:55.922823,-28.8203218,-51.114791399999994,785.679,26.28,7.301,7.390000000000001,0.388821349251444,6.97180131709515,16.346153846153847,1.04,True,58.65384615384615,57,0.98s,0.98
1679660755.984,2023-03-24 09:25:55.984000,-28.8203247,-51.114793899999995,785.665,26.23,7.287,7.3100000000000005,0.4035494450205295,7.37535076211568,16.346153846153847,1.16,True,56.730769230769226,60,1.04s,1.04
1679660756.0451765,2023-03-24 09:25:56.045177,-28.8203276,-51.114796299999995,785.655,26.06,7.24,7.29,0.39772335160037237,7.773074113716052,16.346153846153847,1.16,True,56.730769230769226,63,1.10s,1.1
1679660756.1063528,2023-03-24 09:25:56.106353,-28.8203334,-51.1148011,785.621,26.18,7.273000000000001,7.25,0.795446693838279,8.56852080755433,16.346153846153847,1.16,True,56.730769230769226,67,1.16s,1.16
1679660756.1675293,2023-03-24 09:25:56.167529,-28.8203361,-51.114803599999995,785.606,25.87,7.186,7.28,0.3861271312998089,8.954647938854139,16.346153846153847,1.16,True,56.730769230769226,70,1.22s,1.22
1679660756.228706,2023-03-24 09:25:56.228706,-28.8203389,-51.1148059,785.591,25.58,7.105,7.19,0.38301995085174356,9.337667889705882,16.346153846153847,1.16,True,56.730769230769226,74,1.28s,1.28
1679660756.2898824,2023-03-24 09:25:56.289882,-28.8203416,-51.1148082,785.586,25.22,7.005,7.11,0.3740964149083253,9.711764304614208,16.346153846153847,1.16,True,56.730769230769226,77,1.35s,1.35
1679660756.3510587,2023-03-24 09:25:56.351059,-28.8203444,-51.1148106,785.572,25.21,7.002,7.01,0.3888213193139975,10.100585623928206,16.346153846153847,1.16,True,56.730769230769226,81,1.41s,1.41
1679660756.4122353,2023-03-24 09:25:56.412235,-28.820347199999997,-51.1148129,785.559,25.07,6.965,7.01,0.3830199386498259,10.483605562578031,16.346153846153847,1.16,True,56.730769230769226,84,1.47s,1.47
1679660756.4734118,2023-03-24 09:25:56.473412,-28.8203499,-51.114815199999995,785.54,24.9,6.918,6.97,0.374096405174096,10.857701967752128,16.346153846153847,1.16,True,56.730769230769226,88,1.53s,1.53
1679660756.534588,2023-03-24 09:25:56.534588,-28.8203526,-51.1148174,785.528,24.62,6.839,6.92,0.36832176043901926,11.226023728191148,16.346153846153847,1.16,True,56.730769230769226,91,1.59s,1.59
1679660756.5957646,2023-03-24 09:25:56.595765,-28.820355199999998,-51.1148198,785.516,24.56,6.822,6.84,0.37136960584623213,11.59739333403738,16.346153846153847,1.16,True,56.730769230769226,95,1.65s,1.65
1679660756.6569412,2023-03-24 09:25:56.656941,-28.820357899999998,-51.1148222,785.504,24.55,6.819,6.83,0.3800340161354176,11.977427350172796,16.346153846153847,1.16,True,56.730769230769226,98,1.71s,1.71
1679660756.7181177,2023-03-24 09:25:56.718118,-28.8203605,-51.114824299999995,785.5020000000001,24.17,6.715,6.82,0.3536294427126068,12.331056792885404,16.346153846153847,1.16,True,56.730769230769226,102,1.77s,1.77
1679660756.779294,2023-03-24 09:25:56.779294,-28.820363099999998,-51.1148264,785.481,23.74,6.595,6.72,0.35362944028633253,12.684686233171737,16.346153846153847,1.16,True,56.730769230769226,105,1.84s,1.84
1679660756.8404706,2023-03-24 09:25:56.840471,-28.820365799999998,-51.114828499999994,785.469,23.71,6.585,6.6000000000000005,0.3627178684194437,13.04740410159118,16.346153846153847,1.16,True,56.730769230769226,109,1.90s,1.9
1679660756.901647,2023-03-24 09:25:56.901647,-28.8203683,-51.1148307,785.464,23.53,6.535,6.59,0.3505504793733832,13.397954580964564,16.346153846153847,1.16,True,56.730769230769226,112,1.96s,1.96
1679660756.9628234,2023-03-24 09:25:56.962823,-28.8203709,-51.114832799999995,785.441,23.49,6.526,6.54,0.3536294319476186,13.751584012912183,16.346153846153847,1.16,True,56.730769230769226,116,2.02s,2.02
1679660757.024,2023-03-24 09:25:57.024000,-28.8203735,-51.1148349,785.423,23.3,6.472,6.53,0.3536294291677107,14.105213442079894,16.346153846153847,1.08,True,57.69230769230769,118,2.08s,2.08
