tsmp,datetime,latitude,longitude,altitude,speed,speed2D,speed3D,dist_last_meas,distance,freq_gnss,gnss_DOP,gnss_fix,FPS,frame_idx,frame_time,frame_time_sec
1584271530.65,2020-03-15 08:25:30.650000,-7.1926381,-35.1794941,42.006,79.73,22.148,22.04,0.001,0.001,18.26923076923077,1.61,True,57.69230769230769,0,0.00s,0.0
1584271530.704737,2020-03-15 08:25:30.704737,-7.1926336,-35.1795048,42.014,80.24,22.289,22.150000000000002,1.2823169714897107,1.2833169714897106,18.26923076923077,1.61,True,57.69230769230769,3,0.05s,0.05
1584271530.7594738,2020-03-15 08:25:30.759474,-7.192628999999999,-35.1795149,42.029,80.15,22.263,22.29,1.2260597540424865,2.509376725532197,18.26923076923077,1.61,True,57.69230769230769,6,0.11s,0.11
1584271530.8142107,2020-03-15 08:25:30.814211,-7.1926248,-35.179525,42.02,80.02,22.227,22.26,1.2083754013223977,3.7177521268545948,18.26923076923077,1.61,True,57.69230769230769,9,0.16s,0.16
1584271530.8689475,2020-03-15 08:25:30.868948,-7.1926207,-35.1795353,42.006,80.06,22.238,22.23,1.2246599170668562,4.9424120439214505,18.26923076923077,1.61,True,57.69230769230769,13,0.22s,0.22
1584271530.9236844,2020-03-15 08:25:30.923684,-7.1926165,-35.1795452,41.975,79.86,22.182000000000002,22.240000000000002,1.1880130341326152,6.130425078054065,18.26923076923077,1.61,True,57.69230769230769,16,0.27s,0.27
1584271530.9784212,2020-03-15 08:25:30.978421,-7.1926124,-35.1795554,41.984,79.78,22.16,22.18,1.214406814587735,7.3448318926418,18.26923076923077,1.61,True,57.69230769230769,19,0.33s,0.33
1584271531.033158,2020-03-15 08:25:31.033158,-7.1926083,-35.179565499999995,41.942,79.71,22.142,22.16,1.204167707768179,8.548999600409978,18.26923076923077,1.61,True,57.69230769230769,22,0.38s,0.38
1584271531.087895,2020-03-15 08:25:31.087895,-7.192604599999999,-35.1795754,41.872,79.42,22.06,22.14,1.167503523043586,9.716503123453563,18.26923076923077,1.61,True,57.69230769230769,25,0.44s,0.44
1584271531.1426318,2020-03-15 08:25:31.142632,-7.192600499999999,-35.1795853,41.806,79.25,22.015,22.06,1.1837329602035138,10.900236083657077,18.26923076923077,1.61,True,57.69230769230769,28,0.49s,0.49
1584271531.1973686,2020-03-15 08:25:31.197369,-7.192596099999999,-35.1795955,41.776,79.39,22.054000000000002,22.02,1.2271804380168245,12.127416521673902,18.26923076923077,1.61,True,57.69230769230769,32,0.55s,0.55
1584271531.2521055,2020-03-15 08:25:31.252105,-7.1925919,-35.1796058,41.784,79.53,22.093,22.06,1.22879754473505,13.356214066408953,18.26923076923077,1.61,True,57.69230769230769,35,0.60s,0.6
1584271531.306842,2020-03-15 08:25:31.306842,-7.1925878,-35.1796158,41.738,79.51,22.086000000000002,22.1,1.19394300277824,14.550157069187193,18.26923076923077,1.61,True,57.69230769230769,38,0.66s,0.66
1584271531.361579,2020-03-15 08:25:31.361579,-7.1925836,-35.1796258,41.71,79.31,22.03,22.09,1.1981866486686235,15.748343717855818,18.26923076923077,1.61,True,57.69230769230769,41,0.71s,0.71
1584271531.4163158,2020-03-15 08:25:31.416316,-7.192579299999999,-35.179636099999996,41.684,79.55,22.096,22.03,1.2330204458840508,16.98136416373987,18.26923076923077,1.61,True,57.69230769230769,44,0.77s,0.77
1584271531.4710526,2020-03-15 08:25:31.471053,-7.192574899999999,-35.1796462,41.681,79.55,22.096,22.1,1.2170488396372772,18.198413003377148,18.26923076923077,1.61,True,57.69230769230769,47,0.82s,0.82
1584271531.5257895,2020-03-15 08:25:31.525789,-7.1925707,-35.1796565,41.664,79.84,22.178,22.1,1.2287975934083888,19.427210596785535,18.26923076923077,1.61,True,57.69230769230769,51,0.88s,0.88
1584271531.5805264,2020-03-15 08:25:31.580526,-7.1925664,-35.1796669,41.646,80.11,22.253,22.18,1.2432182128407376,20.670428809626273,18.26923076923077,1.61,True,57.69230769230769,54,0.93s,0.93
1584271531.6352632,2020-03-15 08:25:31.635263,-7.1925621,-35.1796771,41.612,80.05,22.237000000000002,22.25,1.2228374644446396,21.893266274070914,18.26923076923077,1.61,True,57.69230769230769,57,0.99s,0.99
1584271531.69,2020-03-15 08:25:31.690000,-7.1925577,-35.1796873,41.608000000000004,79.98,22.216,22.240000000000002,1.2271805252024852,23.1204467992734,17.307692307692307,1.66,True,57.69230769230769,59,1.04s,1.04
1584271531.747778,2020-03-15 08:25:31.747778,-7.1925536,-35.179697399999995,41.541000000000004,79.91,22.196,22.22,1.2041678306762722,24.32461462994967,17.307692307692307,1.66,True,57.69230769230769,62,1.10s,1.1
1584271531.8055556,2020-03-15 08:25:31.805556,-7.1925493,-35.1797075,41.508,79.88,22.189,22.2,1.212669560982877,25.53728419093255,17.307692307692307,1.66,True,57.69230769230769,66,1.16s,1.16
1584271531.8633335,2020-03-15 08:25:31.863333,-7.1925449,-35.1797178,41.474000000000004,79.99,22.22,22.19,1.2373278328914212,26.77461202382397,17.307692307692307,1.66,True,57.69230769230769,69,1.21s,1.21
1584271531.921111,2020-03-15 08:25:31.921111,-7.1925406,-35.179727899999996,41.435,79.91,22.197,22.22,1.2126695795328617,27.98728160335683,17.307692307692307,1.66,True,57.69230769230769,72,1.27s,1.27
1584271531.978889,2020-03-15 08:25:31.978889,-7.1925362999999995,-35.179738199999996,41.398,79.98,22.217,22.2,1.2330205442761184,29.22030214763295,17.307692307692307,1.66,True,57.69230769230769,76,1.33s,1.33
