tsmp,datetime,latitude,longitude,altitude,speed,speed2D,speed3D,dist_last_meas,distance,freq_gnss,gnss_DOP,gnss_fix,FPS,frame_idx,frame_time,frame_time_sec
1679935208.774,2023-03-27 13:40:08.774000,-28.498285,-50.9517996,965.2860000000001,32.47,9.02,9.01,0.001,0.001,17.307692307692307,1.15,True,57.69230769230769,0,0.00s,0.0
1679935208.8317778,2023-03-27 13:40:08.831778,-28.498281,-50.951802,965.2620000000001,32.54,9.040000000000001,9.02,0.5017334959934293,0.5027334959934293,17.307692307692307,1.15,True,57.69230769230769,3,0.06s,0.06
1679935208.8895555,2023-03-27 13:40:08.889555,-28.498276999999998,-50.9518044,965.26,32.84,9.122,9.040000000000001,0.5017335004840576,1.004466996477487,17.307692307692307,1.15,True,57.69230769230769,7,0.12s,0.12
1679935208.9473333,2023-03-27 13:40:08.947333,-28.498272999999998,-50.9518067,965.265,32.46,9.018,9.120000000000001,0.49722360274594407,1.501690599223431,17.307692307692307,1.15,True,57.69230769230769,10,0.17s,0.17
1679935209.005111,2023-03-27 13:40:09.005111,-28.498269099999998,-50.9518091,965.275,32.05,8.902000000000001,9.02,0.4919686442271768,1.9936592434506077,17.307692307692307,1.15,True,57.69230769230769,13,0.23s,0.23
1679935209.0628889,2023-03-27 13:40:09.062889,-28.4982652,-50.9518115,965.2760000000001,32.11,8.92,8.9,0.4919686476626959,2.4856278911133036,17.307692307692307,1.15,True,57.69230769230769,17,0.29s,0.29
1679935209.1206665,2023-03-27 13:40:09.120667,-28.4982613,-50.9518139,965.28,32.25,8.958,8.92,0.49196865145295526,2.9775965425662587,17.307692307692307,1.15,True,57.69230769230769,20,0.35s,0.35
1679935209.1784444,2023-03-27 13:40:09.178444,-28.498257199999998,-50.9518163,965.284,32.56,9.045,8.96,0.511552095464879,3.489148638031138,17.307692307692307,1.15,True,57.69230769230769,23,0.40s,0.4
1679935209.2362223,2023-03-27 13:40:09.236222,-28.498253199999997,-50.9518187,965.273,32.75,9.097,9.05,0.5017335228527108,3.9908821608838485,17.307692307692307,1.15,True,57.69230769230769,27,0.46s,0.46
1679935209.294,2023-03-27 13:40:09.294000,-28.4982492,-50.9518211,965.261,32.66,9.072000000000001,9.1,0.5017335273469675,4.492615688230816,17.307692307692307,1.15,True,57.69230769230769,30,0.52s,0.52
