tsmp,datetime,latitude,longitude,altitude,speed,speed2D,speed3D,dist_last_meas,distance,freq_gnss,gnss_DOP,gnss_fix,FPS,frame_idx,frame_time,frame_time_sec
1582558636.835,2020-02-24 12:37:16.835000,-30.8281578,-55.3520027,199.668,0.34,0.094,0.12,0.001,0.001,16.346153846153847,1.53,True,57.69230769230769,0,0.00s,0.0
1582558636.8961766,2020-02-24 12:37:16.896177,-30.828157899999997,-55.3520027,199.696,0.13,0.035,0.1,0.011086651081743221,0.01208665108174322,16.346153846153847,1.53,True,57.69230769230769,4,0.06s,0.06
1582558636.9573529,2020-02-24 12:37:16.957353,-30.8281581,-55.3520026,199.699,0.58,0.161,0.04,0.024149381205234022,0.03623603228697724,16.346153846153847,1.53,True,57.69230769230769,7,0.12s,0.12
1582558637.079706,2020-02-24 12:37:17.079706,-30.828158,-55.3520026,199.661,0.25,0.07,0.09,0.011086651787291365,0.04732268407426861,16.346153846153847,1.53,True,57.69230769230769,14,0.24s,0.24
1582558637.1408825,2020-02-24 12:37:17.140882,-30.828157899999997,-55.3520025,199.63400000000001,0.49,0.137,0.08,0.014644148480977929,0.061966832555246536,16.346153846153847,1.53,True,57.69230769230769,18,0.31s,0.31
1582558637.2632353,2020-02-24 12:37:17.263235,-30.828158,-55.3520025,199.63400000000001,0.22,0.062,0.12,0.011086651788672085,0.07305348434391862,16.346153846153847,1.53,True,57.69230769230769,25,0.43s,0.43
1582558637.3855882,2020-02-24 12:37:17.385588,-30.828158,-55.3520026,199.629,0.04,0.01,0.08,0.009567509433784304,0.08262099377770292,16.346153846153847,1.53,True,57.69230769230769,32,0.55s,0.55
1582558637.4467647,2020-02-24 12:37:17.446765,-30.828158,-55.3520025,199.625,0.13,0.036000000000000004,0.04,0.009567509433784304,0.09218850321148722,16.346153846153847,1.53,True,57.69230769230769,35,0.61s,0.61
1582558637.5691178,2020-02-24 12:37:17.569118,-30.8281581,-55.3520026,199.636,0.28,0.078,0.07,0.014644148474542623,0.10683265168602984,16.346153846153847,1.53,True,57.69230769230769,42,0.73s,0.73
1582558637.6914706,2020-02-24 12:37:17.691471,-30.828158,-55.3520026,199.618,0.15,0.043000000000000003,0.08,0.011086651787291365,0.1179193034733212,16.346153846153847,1.53,True,57.69230769230769,49,0.86s,0.86
1582558637.9297369,2020-02-24 12:37:17.929737,-30.8281581,-55.3520026,199.613,0.26,0.07100000000000001,0.04,0.011086651787291365,0.12900595526061256,18.26923076923077,1.53,True,57.69230769230769,62,1.09s,1.09
1582558637.9844737,2020-02-24 12:37:17.984474,-30.8281581,-55.3520025,199.60500000000002,0.13,0.037,0.08,0.009567509423868178,0.13857346468448073,18.26923076923077,1.53,True,57.69230769230769,65,1.15s,1.15
1582558638.0392106,2020-02-24 12:37:18.039211,-30.828158,-55.3520026,199.607,0.06,0.016,0.05,0.014644148474542623,0.15321761315902335,18.26923076923077,1.53,True,57.69230769230769,68,1.20s,1.2
1582558638.0939474,2020-02-24 12:37:18.093947,-30.828158,-55.3520027,199.61,0.19,0.052000000000000005,0.03,0.009567509433784304,0.16278512259280767,18.26923076923077,1.53,True,57.69230769230769,72,1.26s,1.26
